,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
1055,96.0,4.16,79.6,0.921,28.0,92.5,3.64,108.0,50.4,0.077,99.5,1.50111103057861,0.1315,0.1412,0.2531,16.963,7.72,99.448135,2.5,5266249.0,1.84
1056,96.0,-16.7,81.7,8.62,30.3,97.1,3.07,99.3,58.2,0.107,99.5,1.45382654666901,0.0798,0.082,0.1913,6.84099999999999,2.83,98.790146,2.5,304086.0,2.09
1057,96.0,-0.386,80.0,2.69,32.5,90.1,6.46,91.0,38.5,0.174,95.0,1.25449228286743,0.3969,0.1657,0.811,13.6,3.86,100.0,2.5,4179986.0,2.09
1058,95.0,4.09,78.5,2.08,25.9,95.2,4.65,107.0,54.6,0.056,95.0,1.0467928647995,0.0819,0.1049,0.2333,13.902,3.9,99.59724,2.5,5457863.0,1.85
1060,92.0,6.78,81.1,1.76,26.4,98.8,3.45,106.0,43.8,0.047,96.0,1.29393398761749,0.06,0.1968,0.2342,15.57,7.07,99.06305,2.5,9104724.0,1.87
1061,91.0,6.97,81.9,2.15,33.9,90.2,4.94,99.5,71.9,0.073,97.5,1.26811742782593,0.5314,0.5441,0.6083,26.496,3.99,99.88106,2.5,7475014.0,1.44
1062,88.0,17.4,80.5,8.73,26.4,95.5,3.86,104.0,55.1,0.074,98.0,1.25270569324493,0.0586,0.0673,0.2048,22.05,3.4,98.06615,2.5,4661081.0,1.9
1063,87.0,-1.85,81.5,5.12,34.2,90.9,5.59,96.5,54.5,0.134,91.0,0.934466600418091,0.0929,0.3349,0.8211,15.3,4.78,99.99115,2.5,20467032.0,1.89
1064,87.0,8.59,80.0,2.56,30.0,96.6,5.15,106.0,55.2,0.061,99.5,0.902736186981201,0.1054,0.5143,0.7222,16.364,5.0,97.89223,2.5,16325679.0,1.72
1065,86.0,3.6,80.1,1.89,29.6,86.9,4.76,112.0,57.0,0.119,95.5,1.07445085048676,0.1068,0.1522,0.4146,41.468,5.24,99.9929,2.5,8267771.0,1.41
1067,86.0,-1.93,79.5,3.0,34.6,80.8,5.92,115.0,53.1,0.199,93.5,0.667080104351044,0.1211,0.0532,0.6944,19.801,5.35,99.1232,2.5,60803700.0,1.8
1068,85.0,2.75,80.7,2.57,33.8,90.7,5.98,57.6,57.2,0.135,95.5,1.03495657444,0.7124,0.5772,0.6958,19.787,6.32,99.750336,2.5,32531864.0,1.6
1070,80.0,5.42,79.9,0.397,31.3,88.2,4.61,106.0,57.2,0.105,94.5,1.02506959438324,0.1682,0.1642,0.6571,23.821,10.25,99.22177,2.5,81177816.0,1.36
1071,76.0,1.3,82.8,-0.862,33.9,81.5,3.63,78.0,43.3,0.138,87.5,1.13833451271057,0.0119,0.0178,0.5406,12.882,4.19,99.98073,2.5,127902168.0,1.32
1072,74.0,-0.233,80.8,2.16,29.7,80.7,4.47,84.8,46.8,0.157,91.0,0.595505774021149,0.1032,0.1221,0.4029,22.623,8.45,98.65848,2.5,60919152.0,1.96
1073,74.0,8.05,79.4,3.42,32.7,90.1,4.86,111.0,50.6,0.181,99.5,1.19241058826447,0.1206,0.0312,0.155,39.262,4.41,90.141975,2.5,4234809.0,1.99
1074,73.0,4.04,79.6,2.26,28.1,81.5,4.83,93.0,51.9,0.102,96.0,0.856375813484192,0.5554,0.5409,0.2127,2.54600000000001,8.25,99.48554,2.5,10582970.0,1.78
1075,73.0,14.0,78.2,12.3,47.3,78.9,8.96,76.2,15.4,0.367,88.37,0.613005876541138,0.1861,0.1871,0.3841,13.158,9.02,95.22913,3.1,16334573.0,1.96
